new_filename,source_filename,original_path,compressed_path,media_type,capture_datetime_if_reliable,estimated_datetime,gps_lat,gps_lon,period,confidence,ordering_basis,relative_path,manual_filename_hint
A_001.jpg,0d5646af-764b-467d-9f26-9bb1b7534cd3.jpg,/Users/Daniel/Downloads/Foto di iCloud/0d5646af-764b-467d-9f26-9bb1b7534cd3.jpg,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/0d5646af-764b-467d-9f26-9bb1b7534cd3.jpg,image,,,,,A,user-assigned,user-provided filename hint: 21_SET.jpg,A/A_001.jpg,21_SET.jpg
A_002.jpg,IMG_8647.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_8647.HEIC,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8647.jpg,image,2025-09-21T13:14:43,,43.651345,-79.355613,A,high,embedded EXIF capture date; GPS present,A/A_002.jpg,
A_003.jpg,IMG_3666.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_3666.JPG,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_3666.jpg,image,2025-09-21T19:38:18,,43.639622,-79.354492,A,high,embedded EXIF capture date; GPS present,A/A_003.jpg,
A_004.jpg,IMG_8675.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_8675.HEIC,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8675.jpg,image,2025-09-21T19:57:14,,43.639633,-79.354492,A,high,embedded EXIF capture date; GPS present,A/A_004.jpg,
A_005.jpg,IMG_8772.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_8772.HEIC,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8772.jpg,image,2025-09-24T17:05:36,,43.663922,-79.4162,A,high,embedded EXIF capture date; GPS present,A/A_005.jpg,
A_006.jpg,IMG_8781.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_8781.HEIC,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8781.jpg,image,2025-09-24T21:44:37,,43.66407,-79.416817,A,high,embedded EXIF capture date; GPS present,A/A_006.jpg,
A_007.jpg,4681b87f-99e3-4bf9-b458-b2ba5038fd5f.jpg,/Users/Daniel/Downloads/Foto di iCloud/4681b87f-99e3-4bf9-b458-b2ba5038fd5f.jpg,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/4681b87f-99e3-4bf9-b458-b2ba5038fd5f.jpg,image,,,,,A,user-assigned,user-provided filename hint: 25_SET.jpg,A/A_007.jpg,25_SET.jpg
A_008.jpg,IMG_3626.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_3626.JPEG,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_3626.jpg,image,,,,,A,user-assigned,user-provided filename hint: 25_SET_2.jpg,A/A_008.jpg,25_SET_2.jpg
A_009.jpg,IMG_3130.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_3130.JPG,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_3130.jpg,image,,,,,A,user-assigned,user-provided filename hint: 25_SET_3.jpg,A/A_009.jpg,25_SET_3.jpg
A_010.m4v,IMG_8823.m4v,/Users/Daniel/Downloads/Foto di iCloud/IMG_8823.MOV,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8823.m4v,video,2025-09-25T22:38:45,,43.6514,-79.3575,A,high,embedded QuickTime creation date; GPS present,A/A_010.m4v,
A_011.m4v,IMG_8824.m4v,/Users/Daniel/Downloads/Foto di iCloud/IMG_8824.MOV,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8824.m4v,video,2025-09-25T22:55:11,,43.6514,-79.3575,A,high,embedded QuickTime creation date; GPS present,A/A_011.m4v,
A_012.jpg,IMG_8836.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_8836.HEIC,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8836.jpg,image,2025-09-26T14:46:21,,43.651405,-79.357497,A,high,embedded EXIF capture date; GPS present,A/A_012.jpg,
A_013.jpg,IMG_8874.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_8874.HEIC,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8874.jpg,image,2025-09-28T00:07:49,,43.651342,-79.35743,A,high,embedded EXIF capture date; GPS present,A/A_013.jpg,
A_014.jpg,IMG_8878.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_8878.HEIC,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8878.jpg,image,2025-09-28T10:45:23,,43.651395,-79.357505,A,high,embedded EXIF capture date; GPS present,A/A_014.jpg,
A_015.jpg,IMG_8887.jpg,/Users/Daniel/Downloads/Foto di iCloud/IMG_8887.HEIC,/Users/Daniel/Downloads/ANNIVERSARY_2026/compressed_all/set1/IMG_8887.jpg,image,2025-09-28T14:22:22,,43.656342,-79.380792,A,high,embedded EXIF capture date; GPS present,A/A_015.jpg,
